LessonID,ExpectedDuration,CompletionRate
1,5.0,1.0
2,6.315789473684211,0.868421052631579
3,7.631578947368421,0.7368421052631579
4,8.947368421052632,0.6052631578947368
5,10.263157894736842,0.5
6,11.578947368421053,0.5
7,12.894736842105264,0.5
8,14.210526315789474,0.5
9,15.526315789473685,0.5
10,16.842105263157897,0.5
11,18.157894736842106,0.5
12,19.473684210526315,0.5
13,20.789473684210527,0.5
14,22.10526315789474,0.5
15,23.42105263157895,0.5
16,24.736842105263158,0.5
17,26.05263157894737,0.5
18,27.368421052631582,0.5
19,28.68421052631579,0.5
20,30.0,0.5
